Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,642,Romania,ROU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,17261633,,17261633,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,659,Saint Kitts and Nevis,KNA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,86920,,86920,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,660,Anguilla,AIA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,91950,,91950,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,674,San Marino,SMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,28872,,28872,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,688,Serbia,SRB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,77651,,77651,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,690,Seychelles,SYC,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,152918,,152918,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,694,Sierra Leone,SLE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,255242,,255242,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,706,Somalia,SOM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,81047,,81047,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,729,Sudan,SDN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,590409,,590409,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,748,Eswatini,SWZ,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,34241,,34241,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,760,Syria,SYR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,19100,,19100,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,776,Tonga,TON,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,580346,,580346,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,796,Turks and Caicos Isds,TCA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,153282,,153282,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,804,Ukraine,UKR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,8554855,,8554855,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,854,Burkina Faso,BFA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,127167,,127167,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,860,Uzbekistan,UZB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,163987,,163987,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,882,Samoa,WSM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,207236,,207236,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,60732633015,,60732633015.132,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,12,Algeria,DZA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,3190293,,3190293,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,20,Andorra,AND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,534043,,534043.79,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,28,Antigua and Barbuda,ATG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1164717,,1164717,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,31,Azerbaijan,AZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,21854,,21854,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,738413192,,738413192.35,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,314261923,,314261923.74,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,40,Austria,AUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,52681591,,52681591,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,44,Bahamas,BHS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1337410,,1337410,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,48,Bahrain,BHR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,52856932,,52856932,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,15080507,,15080507,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,51,Armenia,ARM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,351522,,351522,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,52,Barbados,BRB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,2211374,,2211374,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,553158839,,553158839.1,0
